Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,306.49,396.57,FAIRCHEMOR
Raw Material Cost,,,,,,,,,192.38,270.13,FAIRCHEMOR
Change in Inventory,,,,,,,,,-6.26,10.87,FAIRCHEMOR
Power and Fuel,,,,,,,,,18.84,21.37,FAIRCHEMOR
Other Mfr. Exp,,,,,,,,,15.41,13.72,FAIRCHEMOR
Employee Cost,,,,,,,,,14.14,16.2,FAIRCHEMOR
Selling and admin,,,,,,,,,7.04,13.77,FAIRCHEMOR
Other Expenses,,,,,,,,,3.74,3.58,FAIRCHEMOR
Other Income,,,,,,,,,6.28,0.28,FAIRCHEMOR
Depreciation,,,,,,,,,5.96,6.57,FAIRCHEMOR
Interest,,,,,,,,,6.58,6.82,FAIRCHEMOR
Profit before tax,,,,,,,,,42.42,55.56,FAIRCHEMOR
Tax,,,,,,,,,7.71,13.08,FAIRCHEMOR
Net profit,,,,,,,,,34.7,42.48,FAIRCHEMOR
