Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,139.67,190.53,241.08,393.27,419.3,512.43,CLEAN
Raw Material Cost,,,,,59.12,76.03,107.37,178.61,127.98,137.86,CLEAN
Change in Inventory,,,,,4.38,8.03,-6.05,7.39,-1.26,14.28,CLEAN
Power and Fuel,,,,,11.45,15.6,19.8,33.03,36.45,35.95,CLEAN
Other Mfr. Exp,,,,,3.28,4.82,12.42,19.28,22.54,31.54,CLEAN
Employee Cost,,,,,11.47,15.27,16.08,24.86,31.01,43.56,CLEAN
Selling and admin,,,,,4.89,8.56,3.38,3.86,8.19,12.08,CLEAN
Other Expenses,,,,,6.05,5.97,2.59,4.15,6.29,6.2,CLEAN
Other Income,,,,,1.9,4.23,4.63,11.16,10.87,25.31,CLEAN
Depreciation,,,,,5.59,6.36,7.59,11.02,13.7,17.21,CLEAN
Interest,,,,,2.64,0.44,0.56,0.33,0.41,0.33,CLEAN
Profit before tax,,,,,41.46,69.74,69.87,136.68,182.34,267.29,CLEAN
Tax,,,,,14.23,22.91,21.22,38.88,42.69,68.92,CLEAN
Net profit,,,,,27.24,46.83,48.66,97.8,139.65,198.38,CLEAN
