Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.05,0.05,22.86,22.86,40.67,40.67,LASA
Reserves,,,,,,75.44,94.48,82.43,100.79,118.24,LASA
Borrowings,,,,,0.35,115.78,106.66,84.6,48.41,19.46,LASA
Other Liabilities,,,,,,36.98,62.78,68.6,42.12,29.5,LASA
Total,,,,,0.4,228.25,286.78,258.49,231.99,207.87,LASA
Net Block,,,,,,118.83,169.64,161.69,152.19,142.95,LASA
Capital Work in Progress,,,,,,29.51,7.24,7.21,,,LASA
Investments,,,,,,,,,,,LASA
Other Assets,,,,,0.4,79.91,109.9,89.59,79.8,64.92,LASA
Total,,,,,0.4,228.25,286.78,258.49,231.99,207.87,LASA
Receivables,,,,,,34.97,42.15,28.88,20.65,14.77,LASA
Inventory,,,,,,33.46,42.23,31.6,26.3,17.26,LASA
Cash & Bank,,,,,0.05,1.16,2.63,2.69,6.06,4.4,LASA
No. of Equity Shares,,,,,50000.0,50000.0,22864449.0,22864449.0,40672668.0,40672668.0,LASA
New Bonus Shares,,,,,,,,,,,LASA
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,LASA
