Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,0.01,0.07,0.07,2.98,PALASHSECU
Raw Material Cost,,,,,,,,,,,PALASHSECU
Change in Inventory,,,,,,,,,,,PALASHSECU
Power and Fuel,,,,,,,,,,,PALASHSECU
Other Mfr. Exp,,,,,,0.36,,0.12,0.14,0.13,PALASHSECU
Employee Cost,,,,,,,0.01,0.02,0.01,0.01,PALASHSECU
Selling and admin,,,,,,0.11,0.54,0.12,0.15,0.16,PALASHSECU
Other Expenses,,,,0.01,0.03,-0.01,0.01,0.01,,,PALASHSECU
Other Income,,,,,,0.04,0.21,0.37,0.36,0.35,PALASHSECU
Depreciation,,,,,,0.02,0.02,0.02,0.02,0.02,PALASHSECU
Interest,,,,,,,,0.2,0.2,0.13,PALASHSECU
Profit before tax,,,,-0.01,-0.03,-0.44,-0.36,-0.05,-0.09,2.88,PALASHSECU
Tax,,,,,,,,0.02,,,PALASHSECU
Net profit,,,,-0.01,-0.03,-0.45,-0.36,-0.07,-0.1,2.88,PALASHSECU
