Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,161.07,161.07,161.07,161.07,161.11,ISEC
Reserves,,,,,,323.98,677.58,873.34,1030.32,1642.46,ISEC
Borrowings,,,,,,395.41,677.09,451.83,1657.12,3629.91,ISEC
Other Liabilities,,,,,,1159.7,1348.91,3160.02,1569.99,2722.25,ISEC
Total,,,,,,2040.16,2864.65,4646.26,4418.5,8155.73,ISEC
Net Block,,,,,,34.63,38.2,43.55,197.83,160.88,ISEC
Capital Work in Progress,,,,,,2.83,3.89,3.98,8.13,7.87,ISEC
Investments,,,,,,14.39,16.2,15.12,14.74,15.24,ISEC
Other Assets,,,,,,1988.31,2806.36,4583.61,4197.8,7971.74,ISEC
Total,,,,,,2040.16,2864.65,4646.26,4418.5,8155.73,ISEC
Receivables,,,,,,709.75,309.81,476.67,88.62,458.45,ISEC
Inventory,,,,,,31.09,,,,,ISEC
Cash & Bank,,,,,,866.99,1525.6,3120.79,2377.81,3844.77,ISEC
No. of Equity Shares,,,,,,805353500.0,322141400.0,322141400.0,322141400.0,322222370.0,ISEC
New Bonus Shares,,,,,,,,,,,ISEC
Face value,,,,,,2.0,5.0,5.0,5.0,5.0,ISEC
