Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,168.47,168.47,168.47,168.47,168.47,336.94,315.96,315.96,315.96,281.02,ENGINERSIN
Reserves,1675.58,2069.08,2293.29,2399.43,2588.54,2439.02,1951.92,1959.89,2029.5,1419.99,ENGINERSIN
Borrowings,,,,,,,,,4.92,3.68,ENGINERSIN
Other Liabilities,1900.01,1607.13,1288.66,1348.05,1333.38,1542.64,2162.44,2408.64,2678.43,2673.54,ENGINERSIN
Total,3744.06,3844.68,3750.42,3915.95,4090.39,4318.6,4430.32,4684.49,5028.81,4378.23,ENGINERSIN
Net Block,53.09,50.46,117.9,269.7,240.03,269.91,255.14,245.61,271.75,260.59,ENGINERSIN
Capital Work in Progress,51.6,135.52,131.76,19.11,24.39,55.72,51.85,52.01,3.1,1.36,ENGINERSIN
Investments,634.97,653.14,736.59,140.39,75.45,532.42,244.01,320.04,476.82,1355.01,ENGINERSIN
Other Assets,3004.4,3005.56,2764.17,3486.75,3750.52,3460.55,3879.32,4066.83,4277.14,2761.27,ENGINERSIN
Total,3744.06,3844.68,3750.42,3915.95,4090.39,4318.6,4430.32,4684.49,5028.81,4378.23,ENGINERSIN
Receivables,307.37,332.17,343.09,426.06,363.31,383.08,544.93,414.15,666.15,518.44,ENGINERSIN
Inventory,0.82,0.82,1.0,0.81,1.01,1.05,1.1,6.9,6.62,1.86,ENGINERSIN
Cash & Bank,1643.14,1848.02,1768.03,2372.92,2615.83,2310.49,2480.63,2661.06,2722.51,1258.54,ENGINERSIN
No. of Equity Shares,336939200.0,336939200.0,336939200.0,336939200.0,336939200.0,673875800.0,631914020.0,631914020.0,631914020.0,562044973.0,ENGINERSIN
New Bonus Shares,,,,,,336936600.0,,,,,ENGINERSIN
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ENGINERSIN
