Report Date,2012-06-30 00:00:00,2013-06-30 00:00:00,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,226.63,277.52,406.1,462.25,414.84,663.89,687.03,523.85,716.18,487.88,SYMPHONY
Raw Material Cost,81.61,143.5,195.47,223.41,184.44,333.1,320.46,249.81,361.5,262.13,SYMPHONY
Change in Inventory,-31.21,6.29,1.61,5.52,-2.56,22.82,0.12,-10.59,5.69,10.07,SYMPHONY
Power and Fuel,0.09,0.08,0.09,0.08,0.04,0.07,0.06,0.06,0.07,0.04,SYMPHONY
Other Mfr. Exp,0.91,1.02,2.82,2.99,2.5,3.18,2.15,2.66,2.28,1.62,SYMPHONY
Employee Cost,17.05,21.03,25.55,31.63,29.73,46.19,52.0,52.56,55.34,50.57,SYMPHONY
Selling and admin,52.51,69.38,106.16,72.1,39.24,83.57,75.32,64.8,82.26,54.03,SYMPHONY
Other Expenses,-20.7,-28.83,-44.44,2.91,3.58,12.81,16.88,7.77,19.12,12.61,SYMPHONY
Other Income,8.19,16.41,14.87,29.94,19.11,37.86,40.2,8.91,45.32,35.63,SYMPHONY
Depreciation,1.69,1.31,1.15,2.12,2.19,3.51,4.35,4.26,5.94,5.16,SYMPHONY
Interest,0.67,0.51,0.21,0.72,0.18,0.23,0.92,0.45,0.41,0.29,SYMPHONY
Profit before tax,69.78,92.22,135.57,161.75,169.49,241.91,255.21,139.8,240.27,147.13,SYMPHONY
Tax,19.44,29.54,36.7,45.32,46.48,67.27,72.25,38.8,54.36,34.78,SYMPHONY
Net profit,50.34,62.68,98.87,116.42,123.01,174.65,182.96,101.0,185.91,112.35,SYMPHONY
