Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,5230.3,5424.97,2891.55,1428.69,1946.27,2927.0,830.71,427.75,MSTCLTD
Raw Material Cost,,,4894.24,5261.2,2553.84,1242.47,1478.96,2542.63,566.31,174.61,MSTCLTD
Change in Inventory,,,-37.7,110.78,-131.54,55.45,-70.74,,,,MSTCLTD
Power and Fuel,,,1.04,1.15,1.29,1.19,1.19,1.14,1.15,0.96,MSTCLTD
Other Mfr. Exp,,,2.72,1.47,1.57,2.47,2.58,2.88,4.39,4.63,MSTCLTD
Employee Cost,,,36.73,38.91,42.75,50.08,87.42,59.98,71.28,67.83,MSTCLTD
Selling and admin,,,18.04,18.1,19.96,24.53,19.19,19.17,16.13,9.92,MSTCLTD
Other Expenses,,,84.54,74.09,18.39,56.52,601.09,546.53,73.17,256.36,MSTCLTD
Other Income,,,-126.81,81.51,76.03,68.83,513.23,41.53,61.5,211.39,MSTCLTD
Depreciation,,,1.95,-1.28,3.61,1.42,1.45,1.25,2.04,2.48,MSTCLTD
Interest,,,133.9,92.15,103.29,77.68,85.28,64.16,28.25,7.67,MSTCLTD
Profit before tax,,,-107.37,131.47,91.34,96.61,111.6,-269.21,129.49,114.68,MSTCLTD
Tax,,,-37.34,40.48,31.46,31.18,34.96,55.26,54.28,13.61,MSTCLTD
Net profit,,,-70.03,90.99,59.88,65.43,76.63,-324.47,75.2,101.07,MSTCLTD
