Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,107.43,174.56,TARC
Raw Material Cost,,,,,,,,,,,TARC
Change in Inventory,,,,,,,,,,,TARC
Power and Fuel,,,,,,,,,0.82,0.63,TARC
Other Mfr. Exp,,,,,,,,,83.55,145.22,TARC
Employee Cost,,,,,,,,,9.69,8.61,TARC
Selling and admin,,,,,,,,0.01,9.17,10.34,TARC
Other Expenses,,,,,,,,,-4.46,-1.22,TARC
Other Income,,,,,,,,,10.64,4.9,TARC
Depreciation,,,,,,,,,2.26,2.14,TARC
Interest,,,,,,,,,14.38,8.47,TARC
Profit before tax,,,,,,,,-0.01,2.66,5.27,TARC
Tax,,,,,,,,,-1.74,0.36,TARC
Net profit,,,,,,,,-0.01,4.4,4.91,TARC
