Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,469.29,513.84,499.32,589.52,604.48,436.88,PDMJEPAPER
Raw Material Cost,,,,,258.03,256.59,258.96,315.71,290.16,162.71,PDMJEPAPER
Change in Inventory,,,,,8.55,-18.89,8.16,-4.36,9.73,-20.72,PDMJEPAPER
Power and Fuel,,,,,73.72,72.35,81.75,87.85,105.38,59.36,PDMJEPAPER
Other Mfr. Exp,,,,,57.06,56.72,55.84,61.46,78.52,58.33,PDMJEPAPER
Employee Cost,,,,,37.2,37.61,40.99,45.53,45.61,44.24,PDMJEPAPER
Selling and admin,,,,,14.61,20.11,24.51,27.72,28.25,18.97,PDMJEPAPER
Other Expenses,,,,,10.05,2.76,2.98,9.26,10.49,4.53,PDMJEPAPER
Other Income,,,,0.02,7.75,-0.57,3.24,3.2,5.12,-16.5,PDMJEPAPER
Depreciation,,,,,5.33,6.65,6.61,7.25,12.18,10.45,PDMJEPAPER
Interest,,,,,16.88,10.11,9.04,7.96,7.69,6.38,PDMJEPAPER
Profit before tax,,,,0.02,12.71,31.48,30.04,25.62,41.05,34.69,PDMJEPAPER
Tax,,,,0.01,2.59,10.9,10.9,8.88,13.84,4.66,PDMJEPAPER
Net profit,,,,0.01,10.12,20.58,19.15,16.74,27.21,30.03,PDMJEPAPER
