Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,20.42,23.92,PPL
Reserves,,,,,,,,88.75,111.92,167.64,PPL
Borrowings,,,,,,,,0.16,5.16,1.56,PPL
Other Liabilities,,,,,,,,51.62,41.27,48.36,PPL
Total,,,,,,,,140.53,178.77,241.48,PPL
Net Block,,,,,,,,43.26,54.71,77.31,PPL
Capital Work in Progress,,,,,,,,0.38,0.08,0.3,PPL
Investments,,,,,,,,,,,PPL
Other Assets,,,,,,,,96.89,123.98,163.87,PPL
Total,,,,,,,,140.53,178.77,241.48,PPL
Receivables,,,,,,,,31.63,43.19,44.16,PPL
Inventory,,,,,,,,17.38,29.56,55.1,PPL
Cash & Bank,,,,,,,,0.71,11.8,32.42,PPL
No. of Equity Shares,,,,,,,,,20418354.0,23918354.0,PPL
New Bonus Shares,,,,,,,,,,,PPL
Face value,,,,,,,,10.0,10.0,10.0,PPL
