Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,488.81,533.41,537.24,537.24,537.24,537.24,965.95,MAXHEALTH
Reserves,,,,522.74,762.11,770.09,772.84,749.46,2337.84,4973.48,MAXHEALTH
Borrowings,,,,296.17,273.0,313.94,385.52,390.35,657.82,479.57,MAXHEALTH
Other Liabilities,,,,141.32,171.09,210.34,277.6,274.37,19.91,723.95,MAXHEALTH
Total,,,,1449.04,1739.61,1831.61,1973.2,1951.42,3552.81,7142.95,MAXHEALTH
Net Block,,,,429.78,423.85,428.58,501.73,478.85,89.71,2988.96,MAXHEALTH
Capital Work in Progress,,,,14.52,6.5,29.69,7.15,10.02,,8.34,MAXHEALTH
Investments,,,,450.96,839.98,865.69,799.46,769.97,2471.24,2379.3,MAXHEALTH
Other Assets,,,,553.78,469.28,507.65,664.86,692.58,991.86,1766.35,MAXHEALTH
Total,,,,1449.04,1739.61,1831.61,1973.2,1951.42,3552.81,7142.95,MAXHEALTH
Receivables,,,,144.01,119.27,149.22,195.9,285.45,83.9,307.44,MAXHEALTH
Inventory,,,,12.74,13.18,13.86,17.55,15.4,,21.49,MAXHEALTH
Cash & Bank,,,,19.52,3.97,4.6,4.36,4.28,65.76,610.99,MAXHEALTH
No. of Equity Shares,,,,488813654.0,533408098.0,537244328.0,537244328.0,537244328.0,537244328.0,965945006.0,MAXHEALTH
New Bonus Shares,,,,,,,,,,,MAXHEALTH
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MAXHEALTH
