Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,149.33,134.88,148.63,152.38,MAPMYINDIA
Raw Material Cost,,,,,,,21.58,18.27,14.49,15.54,MAPMYINDIA
Change in Inventory,,,,,,,1.32,-1.57,-0.07,-0.84,MAPMYINDIA
Power and Fuel,,,,,,,1.35,1.42,1.59,1.29,MAPMYINDIA
Other Mfr. Exp,,,,,,,4.56,2.76,2.82,1.78,MAPMYINDIA
Employee Cost,,,,,,,45.2,49.45,63.55,52.53,MAPMYINDIA
Selling and admin,,,,,,,24.25,24.05,26.06,22.97,MAPMYINDIA
Other Expenses,,,,,,,6.14,16.21,9.58,6.19,MAPMYINDIA
Other Income,,,,,,,11.36,28.23,14.92,39.75,MAPMYINDIA
Depreciation,,,,,,,5.73,5.17,8.93,9.21,MAPMYINDIA
Interest,,,,,,,0.17,0.27,2.84,2.53,MAPMYINDIA
Profit before tax,,,,,,,53.03,43.94,33.62,79.25,MAPMYINDIA
Tax,,,,,,,17.62,8.63,8.28,19.07,MAPMYINDIA
Net profit,,,,,,,35.41,35.31,25.34,60.18,MAPMYINDIA
