Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,169.84,169.39,175.34,164.21,138.96,SHIVAMILLS
Raw Material Cost,,,,,,107.92,117.32,123.24,108.38,87.59,SHIVAMILLS
Change in Inventory,,,,,,-3.45,0.63,7.3,-8.86,-3.04,SHIVAMILLS
Power and Fuel,,,,,,7.33,8.0,10.0,8.5,5.7,SHIVAMILLS
Other Mfr. Exp,,,,,,9.93,7.95,7.63,5.55,4.96,SHIVAMILLS
Employee Cost,,,,,,15.48,15.73,16.72,16.11,14.08,SHIVAMILLS
Selling and admin,,,,,,3.67,4.1,4.89,4.18,3.1,SHIVAMILLS
Other Expenses,,,,,,0.67,0.61,0.52,0.42,0.3,SHIVAMILLS
Other Income,,,,,,0.24,0.52,0.68,0.39,0.25,SHIVAMILLS
Depreciation,,,,,,4.86,4.89,5.2,5.41,5.68,SHIVAMILLS
Interest,,,,,,6.3,5.99,7.52,5.68,2.54,SHIVAMILLS
Profit before tax,,,,,,10.47,5.95,7.6,1.51,12.22,SHIVAMILLS
Tax,,,,,,6.0,2.08,0.99,0.37,3.66,SHIVAMILLS
Net profit,,,,,,4.48,3.87,6.6,1.14,8.55,SHIVAMILLS
