Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,44.58,44.58,44.58,44.58,FINOPB
Reserves,,,,,,,179.91,117.53,85.49,105.97,FINOPB
Borrowings,,,,,,,87.17,130.44,228.32,423.64,FINOPB
Other Liabilities,,,,,,,226.2,391.52,265.61,436.1,FINOPB
Total,,,,,,,537.86,684.07,624.0,1010.29,FINOPB
Net Block,,,,,,,45.56,41.88,49.05,62.41,FINOPB
Capital Work in Progress,,,,,,,1.3,0.35,0.44,1.81,FINOPB
Investments,,,,,,,63.77,73.2,128.27,503.56,FINOPB
Other Assets,,,,,,,427.23,568.64,446.24,442.51,FINOPB
Total,,,,,,,537.86,684.07,624.0,1010.29,FINOPB
Receivables,,,,,,,,,,,FINOPB
Inventory,,,,,,,,,,,FINOPB
Cash & Bank,,,,,,,338.33,388.31,301.98,270.82,FINOPB
No. of Equity Shares,,,,,,,44579997.0,44579997.0,44579997.0,44579997.0,FINOPB
New Bonus Shares,,,,,,,,,,,FINOPB
Face value,,,,,,,10.0,10.0,10.0,10.0,FINOPB
