Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2010-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,2.0,4.83,15.33,15.33,15.33,15.33,FINEORG
Reserves,,,,,9.27,330.12,393.12,493.12,615.44,723.51,FINEORG
Borrowings,,,,,97.56,40.26,53.61,128.27,124.72,89.17,FINEORG
Other Liabilities,,,,,34.67,79.27,79.88,72.56,106.88,127.41,FINEORG
Total,,,,,143.5,454.48,541.94,709.28,862.37,955.42,FINEORG
Net Block,,,,,62.87,96.98,88.32,78.16,216.77,195.85,FINEORG
Capital Work in Progress,,,,,0.02,2.8,31.67,106.29,5.84,26.3,FINEORG
Investments,,,,,,14.33,14.33,16.69,44.17,43.67,FINEORG
Other Assets,,,,,80.61,340.37,407.62,508.14,595.59,689.6,FINEORG
Total,,,,,143.5,454.48,541.94,709.28,862.37,955.42,FINEORG
Receivables,,,,,21.54,120.3,161.08,166.98,145.11,174.53,FINEORG
Inventory,,,,,22.08,88.46,83.31,79.0,119.45,108.93,FINEORG
Cash & Bank,,,,,21.37,14.23,7.08,103.07,205.63,261.18,FINEORG
No. of Equity Shares,,,,,1999995.0,4829996.0,30659976.0,30659976.0,30659976.0,30659976.0,FINEORG
New Bonus Shares,,,,,,,20439984.0,,,,FINEORG
Face value,,,,,10.0,10.0,5.0,5.0,5.0,5.0,FINEORG
