Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,114.38,188.74,285.25,392.02,250.66,GOCOLORS
Raw Material Cost,,,,,,55.2,76.89,111.95,166.67,70.71,GOCOLORS
Change in Inventory,,,,,,2.89,15.0,17.48,36.71,-21.45,GOCOLORS
Power and Fuel,,,,,,0.64,1.32,2.21,3.96,4.2,GOCOLORS
Other Mfr. Exp,,,,,,5.19,19.33,31.3,40.26,22.64,GOCOLORS
Employee Cost,,,,,,15.82,27.5,41.96,61.95,61.49,GOCOLORS
Selling and admin,,,,,,22.7,37.93,25.13,38.39,34.63,GOCOLORS
Other Expenses,,,,,,2.03,5.26,9.21,-10.69,-11.94,GOCOLORS
Other Income,,,,,,0.55,1.32,5.73,4.75,31.58,GOCOLORS
Depreciation,,,,,,2.26,3.69,32.13,46.57,60.5,GOCOLORS
Interest,,,,,,0.58,1.82,12.36,18.08,21.7,GOCOLORS
Profit before tax,,,,,,13.4,31.32,42.21,68.29,-3.14,GOCOLORS
Tax,,,,,,5.36,10.73,11.27,15.65,0.4,GOCOLORS
Net profit,,,,,,8.03,20.59,30.94,52.63,-3.54,GOCOLORS
