Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,340.96,385.14,476.15,PPL
Raw Material Cost,,,,,,,,260.75,300.06,359.4,PPL
Change in Inventory,,,,,,,,-1.4,7.26,4.61,PPL
Power and Fuel,,,,,,,,9.72,11.79,12.41,PPL
Other Mfr. Exp,,,,,,,,3.84,5.55,7.75,PPL
Employee Cost,,,,,,,,12.92,18.92,23.29,PPL
Selling and admin,,,,,,,,13.27,15.74,16.45,PPL
Other Expenses,,,,,,,,0.45,1.94,2.92,PPL
Other Income,,,,,,,,4.59,4.07,2.15,PPL
Depreciation,,,,,,,,4.72,6.49,8.37,PPL
Interest,,,,,,,,0.21,1.68,1.53,PPL
Profit before tax,,,,,,,,38.27,34.3,50.79,PPL
Tax,,,,,,,,9.72,9.55,14.99,PPL
Net profit,,,,,,,,28.55,24.75,35.8,PPL
