Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,15.5,19.15,18.13,20.25,FINOPB
Raw Material Cost,,,,,,,,,,,FINOPB
Change in Inventory,,,,,,,,,,,FINOPB
Power and Fuel,,,,,,,,,,,FINOPB
Other Mfr. Exp,,,,,,,5.67,7.03,6.2,7.62,FINOPB
Employee Cost,,,,,,,111.97,127.77,124.56,115.42,FINOPB
Selling and admin,,,,,,,51.25,38.51,42.42,40.73,FINOPB
Other Expenses,,,,,,,109.94,236.41,516.82,543.65,FINOPB
Other Income,,,,,,,214.68,351.97,673.27,770.77,FINOPB
Depreciation,,,,,,,16.09,18.26,23.57,53.58,FINOPB
Interest,,,,,,,2.6,5.53,9.87,9.54,FINOPB
Profit before tax,,,,,,,-67.34,-62.39,-32.04,20.48,FINOPB
Tax,,,,,,,,,,,FINOPB
Net profit,,,,,,,-67.34,-62.38,-32.04,20.47,FINOPB
