Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,32.0,,32.0,DEEPINDS
Reserves,,,,,,,0.73,919.79,3.36,994.52,DEEPINDS
Borrowings,,,,,,,231.13,101.75,83.29,40.89,DEEPINDS
Other Liabilities,,,,,,,1077.66,145.23,1113.62,64.15,DEEPINDS
Total,,,,,,,1309.52,1198.77,1200.27,1131.56,DEEPINDS
Net Block,,,,,,,1085.0,979.74,927.24,845.51,DEEPINDS
Capital Work in Progress,,,,,,,1.33,4.39,3.46,0.66,DEEPINDS
Investments,,,,,,,63.7,10.53,8.7,30.26,DEEPINDS
Other Assets,,,,,,,159.49,204.11,260.87,255.13,DEEPINDS
Total,,,,,,,1309.52,1198.77,1200.27,1131.56,DEEPINDS
Receivables,,,,,,,84.82,116.85,140.52,107.38,DEEPINDS
Inventory,,,,,,,10.97,9.86,21.22,30.25,DEEPINDS
Cash & Bank,,,,,,,42.21,33.59,36.78,40.85,DEEPINDS
No. of Equity Shares,,,,,,,,32000000.0,,32000000.0,DEEPINDS
New Bonus Shares,,,,,,,,,,,DEEPINDS
Face value,,,,,,,,10.0,,10.0,DEEPINDS
