Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,957.19,1007.37,1246.5,1315.04,1571.87,1635.66,2071.52,PRINCEPIPE
Raw Material Cost,,,,732.88,737.45,944.02,939.99,1106.94,1215.71,1333.96,PRINCEPIPE
Change in Inventory,,,,7.41,-8.72,54.96,18.56,-20.42,89.28,-44.89,PRINCEPIPE
Power and Fuel,,,,29.07,30.1,33.94,34.3,38.72,45.13,42.14,PRINCEPIPE
Other Mfr. Exp,,,,11.85,32.36,43.55,48.54,67.4,73.08,73.72,PRINCEPIPE
Employee Cost,,,,48.77,52.72,60.96,72.57,81.71,90.4,100.03,PRINCEPIPE
Selling and admin,,,,38.5,39.01,50.23,62.89,68.69,57.6,94.81,PRINCEPIPE
Other Expenses,,,,21.81,7.17,5.56,11.2,3.94,12.89,18.05,PRINCEPIPE
Other Income,,,,2.06,0.34,1.91,5.26,7.13,5.59,15.32,PRINCEPIPE
Depreciation,,,,28.55,29.68,32.83,38.09,43.57,51.98,59.42,PRINCEPIPE
Interest,,,,37.4,33.5,36.37,36.11,36.3,33.17,20.67,PRINCEPIPE
Profit before tax,,,,17.83,37.0,95.91,95.17,111.31,150.57,299.15,PRINCEPIPE
Tax,,,,2.15,7.46,21.73,22.4,29.18,38.06,77.31,PRINCEPIPE
Net profit,,,,15.68,29.54,74.18,72.77,82.13,112.51,221.83,PRINCEPIPE
