Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,776.43,778.04,781.21,786.39,789.3,790.31,790.42,LEMONTREE
Reserves,,,,151.18,137.3,146.02,174.72,242.05,253.46,212.82,LEMONTREE
Borrowings,,,,324.4,341.07,321.05,318.8,310.3,512.8,540.52,LEMONTREE
Other Liabilities,,,,44.51,54.87,57.93,66.92,77.74,59.67,54.88,LEMONTREE
Total,,,,1296.52,1311.28,1306.21,1346.83,1419.39,1616.24,1598.64,LEMONTREE
Net Block,,,,432.52,453.5,435.32,452.02,438.24,596.23,570.37,LEMONTREE
Capital Work in Progress,,,,11.78,5.27,7.28,10.38,11.7,14.5,15.48,LEMONTREE
Investments,,,,681.51,699.89,697.33,715.73,734.4,795.36,792.78,LEMONTREE
Other Assets,,,,170.71,152.62,166.28,168.7,235.05,210.15,220.01,LEMONTREE
Total,,,,1296.52,1311.28,1306.21,1346.83,1419.39,1616.24,1598.64,LEMONTREE
Receivables,,,,10.7,17.07,14.57,20.64,49.67,79.79,77.25,LEMONTREE
Inventory,,,,2.0,2.29,2.03,2.0,2.03,2.34,1.92,LEMONTREE
Cash & Bank,,,,4.21,5.1,5.66,5.72,10.41,11.88,36.41,LEMONTREE
No. of Equity Shares,,,,776425740.0,778041131.0,781213033.0,786393251.0,789295571.0,790314473.0,790421473.0,LEMONTREE
New Bonus Shares,,,,646125652.0,,,,,,,LEMONTREE
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,LEMONTREE
