Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2011-03-31 00:00:00,2012-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,102.86,165.02,207.83,198.5,SGIL
Raw Material Cost,,,,,,,37.1,62.09,73.39,75.34,SGIL
Change in Inventory,,,,,,,12.43,6.17,-5.4,5.43,SGIL
Power and Fuel,,,,,,,10.06,16.22,19.48,20.29,SGIL
Other Mfr. Exp,,,,,,,33.2,49.52,56.35,52.56,SGIL
Employee Cost,,,,,,,11.59,14.43,19.32,20.76,SGIL
Selling and admin,,,,,,,6.78,8.45,11.14,11.11,SGIL
Other Expenses,,,,,,,0.07,0.38,0.28,-0.09,SGIL
Other Income,,,,,,,0.27,0.53,0.66,0.86,SGIL
Depreciation,,,,,,,6.37,6.85,7.37,8.5,SGIL
Interest,,,,,,,7.48,8.63,9.52,10.37,SGIL
Profit before tax,,,,,,,2.91,5.15,6.24,5.95,SGIL
Tax,,,,,,,-1.75,0.6,2.91,2.25,SGIL
Net profit,,,,,,,4.66,4.55,3.33,3.7,SGIL
