Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,1437.98,1822.03,2392.04,3346.64,5195.15,7017.3,9280.93,9300.57,SBICARD
Raw Material Cost,,,,,,,,,,,SBICARD
Change in Inventory,,,,,,,,,,,SBICARD
Power and Fuel,,,1.85,2.82,2.39,2.52,4.79,6.32,5.42,4.43,SBICARD
Other Mfr. Exp,,,272.04,317.85,412.23,482.24,472.05,61.37,65.15,125.89,SBICARD
Employee Cost,,,54.66,62.12,79.17,95.31,193.09,378.93,468.38,491.58,SBICARD
Selling and admin,,,233.36,636.44,849.37,1245.27,2230.77,3277.41,4115.64,3927.21,SBICARD
Other Expenses,,,355.73,236.04,274.19,540.85,814.08,1163.16,1963.09,2673.9,SBICARD
Other Income,,,73.71,82.45,100.14,124.4,174.98,269.55,471.12,412.83,SBICARD
Depreciation,,,0.71,0.78,0.84,4.79,24.49,55.22,103.8,123.26,SBICARD
Interest,,,300.26,377.77,435.81,528.43,711.51,1009.36,1300.93,1043.4,SBICARD
Profit before tax,,,293.08,270.66,438.18,571.63,919.35,1335.08,1729.64,1323.73,SBICARD
Tax,,,,3.97,154.28,198.76,318.21,470.12,484.82,339.21,SBICARD
Net profit,,,293.09,266.69,283.9,372.86,601.14,864.97,1244.82,984.52,SBICARD
