Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,317.6,272.76,371.79,441.53,463.6,605.96,651.35,661.46,673.75,CAMS
Raw Material Cost,,,,,,,,,,,CAMS
Change in Inventory,,,,,,,,,,,CAMS
Power and Fuel,,,,4.92,5.51,5.64,6.74,7.91,7.66,5.76,CAMS
Other Mfr. Exp,,,,6.29,6.06,7.81,9.46,11.3,143.65,138.44,CAMS
Employee Cost,,,,98.8,121.91,138.88,188.39,229.39,210.14,217.77,CAMS
Selling and admin,,,,28.34,34.63,31.44,52.34,56.66,35.01,33.75,CAMS
Other Expenses,,232.46,200.59,106.93,131.5,105.22,144.87,153.89,5.04,9.51,CAMS
Other Income,,,,0.36,1.35,9.28,50.11,10.84,19.3,57.93,CAMS
Depreciation,,,,22.8,17.32,16.0,21.39,26.51,45.94,39.39,CAMS
Interest,,,,0.14,1.08,0.1,0.28,0.28,8.05,7.06,CAMS
Profit before tax,,85.14,72.17,103.93,124.87,167.79,232.6,176.25,225.27,280.0,CAMS
Tax,,26.23,21.61,34.29,43.52,60.26,72.61,64.12,61.2,61.04,CAMS
Net profit,,58.91,50.56,69.64,81.35,107.53,160.0,112.13,164.07,218.97,CAMS
